Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,0.5,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.00019140094942366018,2.439483747791605e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,400,1.0,2,1.8230995286884055,0.001974187253366867,0.15344142928101273,0.002348185122277509
-0.0,-0.0,40.0,3,false,false,0.5,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.06818924945160701,2.10866352833524e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.28319495931493044,7.507456091663563e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,200,1.0,2,0.20715616950903942,5.4124524502565544e-5,0.3294017946253041,0.00021448505244562075
-0.0,-0.0,40.0,3,false,false,0.5,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.041140188579437874,1.2154348426177148e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,202,1.0,2,0.2469432654274576,6.575871391672313e-5,0.09341670073652858,8.276337744357212e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,210,1.0,2,0.03345670802638055,0.0001038227054026648,-0.008010222471479238,0.0002392821712075529
-0.0,-0.0,40.0,3,false,false,0.5,1.0,101,1.0,2,0.0,8.148023487204334e-11,0.17108477519038498,4.9803321000753685e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,300,1.0,2,-0.57053603421457,0.0002442551043962657,-0.04031151352552085,0.0003857564603616624
-0.0,-0.0,40.0,3,false,false,0.5,1.0,120,1.0,2,0.0,8.148023487204334e-11,0.0055450181423019745,8.496439832450761e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,201,1.0,2,0.2392865236588455,6.238938142892233e-5,0.15994959820439572,0.00011053947800185044
-0.0,-0.0,40.0,3,false,false,0.5,1.0,310,1.0,2,-0.2381712772739344,0.0010643713462481013,0.09636260347033983,0.0015476307975973561
-0.0,-0.0,40.0,3,false,false,0.5,1.0,111,1.0,2,0.0,8.148023487204334e-11,0.07995632421101426,2.2190708541706758e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,103,1.0,2,0.0,8.148023487204334e-11,0.03732075842357405,1.1502044881626972e-5
-0.0,-0.0,40.0,3,false,false,0.5,1.0,130,1.0,2,0.0,8.148023487204334e-11,-0.004284095628336628,0.00021402993227944908
-0.0,-0.0,40.0,3,false,false,0.5,1.0,211,1.0,2,0.03543397930333036,0.00012660536209477638,-0.07906260390450236,0.00017440236376030325
-0.0,-0.0,40.0,3,false,false,0.5,1.0,220,1.0,2,-0.03947783720848261,0.0003894732627654775,-0.03303714006348408,0.0008783200570250371
-0.0,-0.0,40.0,3,false,false,0.5,1.0,301,1.0,2,-1.2450335072621377,0.0005013649759575474,-0.11885572491906116,0.0004698983274724914
-0.0,-0.0,40.0,3,false,false,0.5,1.0,100,1.0,2,0.0,8.148023487204334e-11,0.7388879556929261,0.0002128889072039429
-0.0,-0.0,40.0,3,false,false,0.75,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.0002924436089932322,2.3634815820886762e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,400,1.0,2,0.48805323966551795,0.0007503404256041578,0.05414665422976753,0.0011546982909082253
-0.0,-0.0,40.0,3,false,false,0.75,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.07821102158862357,2.3071882570532454e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.25096004998568294,6.49522726600175e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,200,1.0,2,0.12842826766933774,3.3319465935896206e-5,0.26674860725301286,0.00016389258932847852
-0.0,-0.0,40.0,3,false,false,0.75,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.04117619247438064,1.1617825185544579e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,202,1.0,2,0.1621549427523042,4.235336910812302e-5,0.090778234175319,7.121653706845586e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,210,1.0,2,0.021717871393912888,6.563664219733393e-5,0.015091916166550059,0.0001759896598897571
-0.0,-0.0,40.0,3,false,false,0.75,1.0,101,1.0,2,0.0,8.148023487204334e-11,0.1836076260655936,5.1865698275512545e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,300,1.0,2,-0.23206035536080133,0.00011352131958436123,-0.006152078049682734,0.0002381207589508115
-0.0,-0.0,40.0,3,false,false,0.75,1.0,120,1.0,2,0.0,8.148023487204334e-11,0.005305032877921641,7.373166863702226e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,201,1.0,2,0.15410425309838824,3.949483649160855e-5,0.14735603322387075,9.161122845178054e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,310,1.0,2,-0.10241950946527602,0.0005186834790383952,0.02903144193938175,0.000941704822532095
-0.0,-0.0,40.0,3,false,false,0.75,1.0,111,1.0,2,0.0,8.148023487204334e-11,0.07874137809356868,2.07842832470441e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,103,1.0,2,0.0,8.148023487204334e-11,0.043782652475773697,1.2910100696802195e-5
-0.0,-0.0,40.0,3,false,false,0.75,1.0,130,1.0,2,0.0,8.148023487204334e-11,-0.0027504638112536115,0.00018941489844742315
-0.0,-0.0,40.0,3,false,false,0.75,1.0,211,1.0,2,0.02360311886835376,8.32123697122135e-5,-0.03891874189487026,0.00013391492568872322
-0.0,-0.0,40.0,3,false,false,0.75,1.0,220,1.0,2,-0.01873716605409265,0.00024137073362639499,-0.01907720775144204,0.0006576909278410024
-0.0,-0.0,40.0,3,false,false,0.75,1.0,301,1.0,2,-0.5245964578329829,0.00022949462313846542,-0.05544140776038458,0.0002891296636751356
-0.0,-0.0,40.0,3,false,false,0.75,1.0,100,1.0,2,0.0,8.148023487204334e-11,0.6670073311247532,0.0001890318469932681
-0.0,-0.0,40.0,3,false,false,1.0,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.00038180819170059445,2.2668471242325795e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,400,1.0,2,0.18599464088924744,0.0003781102207840405,0.02532855400691808,0.0007252975385822365
-0.0,-0.0,40.0,3,false,false,1.0,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.08537392832084696,2.463944810343649e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.2284759185470657,5.764949240332192e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,200,1.0,2,0.09047211399470896,2.3572700191562067e-5,0.22580216196028446,0.00013661482647065262
-0.0,-0.0,40.0,3,false,false,1.0,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.04115047341076484,1.1251624948037526e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,202,1.0,2,0.11929019513525448,3.110916251132603e-5,0.08782854075859983,6.218968219983799e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,210,1.0,2,0.015780679546417965,4.6017810960122016e-5,0.02381899810485246,0.00014130236685713066
-0.0,-0.0,40.0,3,false,false,1.0,1.0,101,1.0,2,0.0,8.148023487204334e-11,0.1905350877681939,5.279575584451075e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,300,1.0,2,-0.12017988464023008,6.64326542490412e-5,0.005489896325720447,0.00016962004385022436
-0.0,-0.0,40.0,3,false,false,1.0,1.0,120,1.0,2,0.0,8.148023487204334e-11,0.005487280310456423,6.772202951587985e-5
