Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,1.0,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.002546248710352254,0.0011895716043041054
-0.0,-0.0,40.0,3,false,false,1.0,1.0,400,1.0,2,0.013712769464733708,0.013479161655904449,0.007299293029520664,0.020186215647834013
-0.0,-0.0,40.0,3,false,false,1.0,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.0865024131782916,0.0007689819839169613
-0.0,-0.0,40.0,3,false,false,1.0,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.2311962636706638,0.0015947437607358019
-0.0,-0.0,40.0,3,false,false,1.0,1.0,200,1.0,2,0.054478281503490024,0.0011363966597516702,0.23297305142434446,0.003973103569177226
-0.0,-0.0,40.0,3,false,false,1.0,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.04100781916765956,0.00027656918899550187
-0.0,-0.0,40.0,3,false,false,1.0,1.0,202,1.0,2,0.06882664195096665,0.0020525655091091465,0.11530461721086738,0.002848098565765727
-0.0,-0.0,40.0,3,false,false,1.0,1.0,210,1.0,2,0.011731627647153924,0.001978507496301573,0.028196535047835446,0.004861892644156323
-0.0,-0.0,40.0,3,false,false,1.0,1.0,101,1.0,2,0.0,8.148023487204334e-11,0.19215145205872025,0.0015383959572933185
-0.0,-0.0,40.0,3,false,false,1.0,1.0,300,1.0,2,-0.03246677734520457,0.0027305707958585374,-0.0101626680867298,0.0051077468220119574
-0.0,-0.0,40.0,3,false,false,1.0,1.0,120,1.0,2,0.0,8.148023487204334e-11,0.009614240386008471,0.004066004940924017
-0.0,-0.0,40.0,3,false,false,1.0,1.0,201,1.0,2,0.055311979886366984,0.001403754665495332,0.1405710774981822,0.0025276365838797156
-0.0,-0.0,40.0,3,false,false,1.0,1.0,310,1.0,2,-0.029054694769161858,0.012290715697736251,0.01616453949357753,0.022755846877183607
-0.0,-0.0,40.0,3,false,false,1.0,1.0,111,1.0,2,0.0,8.148023487204334e-11,0.07812190824261366,0.000596622721366284
-0.0,-0.0,40.0,3,false,false,1.0,1.0,103,1.0,2,0.0,8.148023487204334e-11,0.04869158124861631,0.00043255478391301895
-0.0,-0.0,40.0,3,false,false,1.0,1.0,130,1.0,2,0.0,8.148023487204334e-11,0.0018089356224278846,0.0289587338270562
-0.0,-0.0,40.0,3,false,false,1.0,1.0,211,1.0,2,0.012532787805904817,0.0022076482546805553,-0.021889952392299048,0.00335634413827942
-0.0,-0.0,40.0,3,false,false,1.0,1.0,220,1.0,2,-0.005957672405783534,0.013250873958798296,0.02345228576106115,0.03136757009588089
-0.0,-0.0,40.0,3,false,false,1.0,1.0,301,1.0,2,-0.055605665317325574,0.004893868727015601,-0.032034966727935474,0.0068692507812748
-0.0,-0.0,40.0,3,false,false,1.0,1.0,100,1.0,2,0.0,8.148023487204334e-11,0.6087921872020043,0.0046817141402355905
